created_at,full_text,lang,cleaned_text,normalized_text
2025-10-08,@RatnaPuspi16942 @prabowo Capek ngomong Percuma jg kita protes Gak bkl di gubris Masuk telinga kanan keluar telinga kiri Menghadapi manusia yg satu ini ibarat Kita berhadapan sama tembok Krn pak Prabowo lebih memilih mempertahankan Mentri²nya Mentri rendah SDM,in,capek ngomong percuma jg kita protes gak bkl di gubris masuk telinga kanan keluar telinga kiri menghadapi manusia yg satu ini ibarat kita berhadapan sama tembok krn pak prabowo lebih memilih mempertahankan mentrinya mentri rendah sdm,capek ngomong percuma juga kita protes gak bkl di gubris masuk telinga kanan keluar telinga kiri menghadapi manusia yang satu ini ibarat kita berhadapan sama tembok karena pak prabowo lebih memilih mempertahankan mentrinya menteri rendah sdm
2025-10-07,Mentri SDM harus jadi Perhatian Presiden karna pembuat Kacau di Negara ini,in,mentri sdm harus jadi perhatian presiden karna pembuat kacau di negara ini,menteri sdm harus jadi perhatian presiden karna pembuat kacau di negara ini
2025-10-04,@Elektroo12_ The real mentri SDM RENDAH,in,the real mentri sdm rendah,the real menteri sdm rendah
2025-10-02,Lagian @KementerianESDM bukanya perbaiki SDM atau kwalitas produk pertamina malah sok2an menekan swasta @bahlillahadalia mentri kok mencla mencle Udah tau nyari investor susah malah betingkah ROMBAK @MyPertaminaID klo perlu @KemenkeuRI,in,lagian bukanya perbaiki sdm atau kwalitas produk pertamina malah sokan menekan swasta mentri kok mencla mencle udah tau nyari investor susah malah betingkah rombak klo perlu,lagian bukanya perbaiki sdm atau kwalitas produk pertamina malah sokan menekan swasta menteri kok mencla mencle udah tau nyari investor susah malah betingkah rombak kalau perlu
2025-10-01,@dhaintly baru kali ini liat mentri serasa jadi DPR jarang-jarang mentri seperti oposisi mudah-mudahan 1 kesalahan yg dibuat bapak persebaya ini gk dihujat sama SDM rendah dikonoha,in,baru kali ini liat mentri serasa jadi dpr jarangjarang mentri seperti oposisi mudahmudahan kesalahan yg dibuat bapak persebaya ini gk dihujat sama sdm rendah dikonoha,baru kali ini liat menteri serasa jadi dpr jarangjarang menteri seperti oposisi mudahmudahan kesalahan yang dibuat bapak persebaya ini gak dihujat sama sdm rendah dikonoha
2025-09-09,@KompasTV Ngeles lagi lu... segala alasan gk kenal emang dasar mentri yg SDM nya rendah gk berkualitas cuma pesanan jokowi saatnya harus di depak dari kabinet,in,ngeles lagi lu segala alasan gk kenal emang dasar mentri yg sdm nya rendah gk berkualitas cuma pesanan jokowi saatnya harus di depak dari kabinet,ngeles lagi lu segala alasan gak kenal emang dasar menteri yang sdm nya rendah gak berkualitas cuma pesanan jokowi saatnya harus di depak dari kabinet
2025-09-09,Mentri kasih tanggapan positif dibilang over confidence nanti kasih tanggapan negatif dibilang gapantes jadi mentri kalo pesimis wkwkwkwk Semua org punya cara n gaya yg beda gausah sok hebat langsung judge hanya dari luar. WTF buat sdm negara ini. Ga heran rata rata IQ rendah,in,mentri kasih tanggapan positif dibilang over confidence nanti kasih tanggapan negatif dibilang gapantes jadi mentri kalo pesimis wkwkwkwk semua org punya cara n gaya yg beda gausah sok hebat langsung judge hanya dari luar wtf buat sdm negara ini ga heran rata rata iq rendah,menteri kasih tanggapan positif dibilang over confidence nanti kasih tanggapan negatif dibilang gapantes jadi menteri kalo pesimis wkwkwkwk semua org punya cara n gaya yang beda gausah sok hebat langsung judge hanya dari luar wtf buat sdm negara ini gak heran rata rata iq rendah
2025-09-09,Miris liat sdm indo ganti mentri salah ga ganti salah udh ganti di komen yg jelek mentrinya ngomong dikit udh di cap jelek ga ngomong ntar di blg bego gabisa jawab wkwkwkw Emang dasar sdm indo bloon wkwkw Kalo emang jago gantiin aja coba maju jadi mentri,in,miris liat sdm indo ganti mentri salah ga ganti salah udh ganti di komen yg jelek mentrinya ngomong dikit udh di cap jelek ga ngomong ntar di blg bego gabisa jawab wkwkwkw emang dasar sdm indo bloon wkwkw kalo emang jago gantiin aja coba maju jadi mentri,miris liat sdm indo ganti menteri salah gak ganti salah udah ganti di komen yang jelek mentrinya ngomong dikit udah di cap jelek gak ngomong ntar di blg bego gabisa jawab wkwkwkw emang dasar sdm indo bloon wkwkw kalo emang jago gantiin saja coba maju jadi menteri
2025-09-08,@SDM_lowliteracy Gajinya guede loh... Berarti kalo jadi Mentri kudu tuh duakali lipat..ya ga apa sih...jual skill buat negara' nya masa nggak cukup,in,gajinya guede loh berarti kalo jadi mentri kudu tuh duakali lipatya ga apa sihjual skill buat negara nya masa nggak cukup,gajinya guede loh berarti kalo jadi menteri kudu tuh duakali lipatya gak apa sihjual skill buat negara nya masa gak cukup
2025-09-08,@CNNIndonesia Ganti mentri KLHK juga gak becus kerja mengatasi masalah polusi udara Jakarta pdhal hanya kota lecil aja.. parahh.. sdm tdk bermutu,in,ganti mentri klhk juga gak becus kerja mengatasi masalah polusi udara jakarta pdhal hanya kota lecil aja parahh sdm tdk bermutu,ganti menteri klhk juga gak becus kerja mengatasi masalah polusi udara jakarta pdhal hanya kota lecil saja parahh sdm tidak bermutu
2025-09-07,@pejuang_nasib @kurawa @psi_id Hanya SDM Rendah yg suka nelen hoaks ada mentri mantan anak abah yg ikutan main juga dah kasih penjelasan https://t.co/tEw3vN5h1y,in,hanya sdm rendah yg suka nelen hoaks ada mentri mantan anak abah yg ikutan main juga dah kasih penjelasan,hanya sdm rendah yang suka nelen hoaks ada menteri mantan anak abah yang ikutan main juga dah kasih penjelasan
2025-09-07,@hnirankara @erna_st SDM standar PSI mentri kerja main gaplek entah kapan istrahatnya,in,sdm standar psi mentri kerja main gaplek entah kapan istrahatnya,sdm standar psi menteri kerja main gaplek entah kapan istrahatnya
2025-09-07,@musksigit @prabowo Gmana bisa org macam itu jadi mentri. Gak abis pikir. Kaya Indo kekurangan SDM aja.,in,gmana bisa org macam itu jadi mentri gak abis pikir kaya indo kekurangan sdm aja,gmana bisa org macam itu jadi menteri gak abis pikir kaya indo kekurangan sdm saja
2025-09-05,@Jejeprojek Keeho gaji dpr kita plg tinggi se Asia dengan sdm rendah umr rendah dengan bahlil mentri kita ,in,keeho gaji dpr kita plg tinggi se asia dengan sdm rendah umr rendah dengan bahlil mentri kita,keeho gaji dpr kita plg tinggi se asia dengan sdm rendah umr rendah dengan bahlil menteri kita
2025-09-03,@txtdrpemerintah Jepang di Bomb atom luluh lantak Kaisar Hirohito malah nanya berapa jumlah guru tersisa bukan nanya mentri agama masih exist ngga? Karena mereka sadar guru adalah pencetak SDM bangsa mereka padahal dari sisi agama malah gak diperhatiin pak preeetlah,in,jepang di bomb atom luluh lantak kaisar hirohito malah nanya berapa jumlah guru tersisa bukan nanya mentri agama masih exist ngga karena mereka sadar guru adalah pencetak sdm bangsa mereka padahal dari sisi agama malah gak diperhatiin pak preeetlah,jepang di bomb atom luluh lantak kaisar hirohito malah nanya berapa jumlah guru tersisa bukan nanya menteri agama masih exist ngga karena mereka sadar guru adalah pencetak sdm bangsa mereka padahal dari sisi agama malah gak diperhatiin pak preeetlah
2025-09-03,sekelas mentri kalo ngomong tuh ya dilihat efek jangka panjang dari omongannya. ini kalo menyakiti hati guru dan calon guru apa imbasnya gak di pendidikan satu negara? ntar penurunan kualitas sdm pemerintah kabur.,in,sekelas mentri kalo ngomong tuh ya dilihat efek jangka panjang dari omongannya ini kalo menyakiti hati guru dan calon guru apa imbasnya gak di pendidikan satu negara ntar penurunan kualitas sdm pemerintah kabur,sekelas menteri kalo ngomong tuh ya dilihat efek jangka panjang dari omongannya ini kalo menyakiti hati guru dan calon guru apa imbasnya gak di pendidikan satu negara ntar penurunan kualitas sdm pemerintah kabur
2025-09-03,@durakeen Indonesia krisis SDM ampe mentri aja macam ginj,in,indonesia krisis sdm ampe mentri aja macam ginj,indonesia krisis sdm ampe menteri saja macam ginj
2025-09-03,kalo gitu gimana indo mau punya kualitas SDM yang tinggi? mindset mentri nya aja gini,in,kalo gitu gimana indo mau punya kualitas sdm yang tinggi mindset mentri nya aja gini,kalo gitu gimana indo mau punya kualitas sdm yang tinggi mindset menteri nya saja gini
2025-08-31,Presiden @prabowo bersihkan kabinet bapak. Bikin se-simple mgkn. Jgn byk mentri/wamen boros duit negara sj. Stop bagi2 kursi politik! Byk SDM yg mampu krj buat 🇮🇩. Tegas. Terjun lsg ke lapangan JGN percaya laporan pembantu bpk. Sewa detektif utk 2nd ears. Thx @setkabgoid,in,presiden bersihkan kabinet bapak bikin sesimple mgkn jgn byk mentriwamen boros duit negara sj stop bagi kursi politik byk sdm yg mampu krj buat tegas terjun lsg ke lapangan jgn percaya laporan pembantu bpk sewa detektif utk nd ears thx,presiden bersihkan kabinet bapak bikin sesimple mgkn jgn byk mentriwamen boros duit negara sj stop bagi kursi politik byk sdm yang mampu krj buat tegas terjun lsg ke lapangan jgn percaya laporan pembantu bpk sewa detektif untuk nd ears thx
2025-08-28,@WPradjoko86595 @ane_wahyudi @kang___L Dri nama mu dah bisa ketebak SDM mu. Tanpa jdi mentri perasaan ibu Susi derajatnya sdh tinggi. Jokowi masih nyerut kayu d Solo aja ibu Susi udah terbang sana sni. Masa ukuran derajat org jdi mentri sih? Sejak kapan mentri ukuran derajat bro?,in,dri nama mu dah bisa ketebak sdm mu tanpa jdi mentri perasaan ibu susi derajatnya sdh tinggi jokowi masih nyerut kayu d solo aja ibu susi udah terbang sana sni masa ukuran derajat org jdi mentri sih sejak kapan mentri ukuran derajat bro,dri nama mu dah bisa ketebak sdm mu tanpa jdi menteri perasaan ibu susi derajatnya sdh tinggi jokowi masih nyerut kayu di solo saja ibu susi udah terbang sana sni masa ukuran derajat org jdi menteri sih sejak kapan menteri ukuran derajat bro
2025-08-26,@kompascom Apa bedanya dan apa tujuanya dibuat kementrian sendiri spt ini. Wong yg dipakai sdm nya ya pasti ambil dari kementrian lama. Wajah lama ditempat baru. Nambah 1 mentri dua wamen brp biaya nya yg keluar,in,apa bedanya dan apa tujuanya dibuat kementrian sendiri spt ini wong yg dipakai sdm nya ya pasti ambil dari kementrian lama wajah lama ditempat baru nambah mentri dua wamen brp biaya nya yg keluar,apa bedanya dan apa tujuanya dibuat kementrian sendiri spt ini wong yang dipakai sdm nya ya pasti ambil dari kementrian lama wajah lama ditempat baru nambah menteri dua wamen brp biaya nya yang keluar
2025-08-22,dari sekian banyaknya sdm negara kita dengan ipk yang beragam tetep penjilat lah yang jadi mentri dan wamen,in,dari sekian banyaknya sdm negara kita dengan ipk yang beragam tetep penjilat lah yang jadi mentri dan wamen,dari sekian banyaknya sdm negara kita dengan ipk yang beragam tetep penjilat lah yang jadi menteri dan wamen
